Keyfield,AnimalID,SerialNo,CollDeploy,LastGoodData,Sex,NoData,CleanData
111_326228,111,326228,7/8/10,8/1/11,M,No,No
129_326229,129,326229,7/1/10,3/5/11,F,No,No
113_326231,113,326231,6/15/10,8/1/11,M,No,No
105_326706,105,326706,7/16/10,3/4/11,F,No,No
105_329267,105,329267,4/11/08,12/3/08,F,No,No
105_330231,105,330231,1/10/09,7/14/10,F,No,No
118_330974,118,330974,5/1/09,9/8/09,M,No,No
87_330974,87,330974,12/22/08,1/29/09,M,No,No
167_33359,167,33359,6/4/19,1/23/21,F,No,No
165_33360,165,33360,4/15/19,3/16/20,M,No,No
159_33360,159,33360,6/18/20,6/25/21,F,No,No
147_33361,147,33361,10/17/19,1/16/21,M,No,No
164_33362,164,33362,4/3/19,,F,No,No
168_33363,168,33363,3/21/20,4/2/21,F,No,No
166_33364,166,33364,5/25/19,3/26/20,M,No,No
